municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
ACEGUA,0,0,70,4,0,0,0,0,2,0,0,0,1
"AGUA SANTA",0,1,47,2,0,3,0,0,1,0,0,2,0
AGUDO,0,9,154,5,0,0,0,0,9,0,6,2,1
AJURICABA,0,4,70,2,0,0,2,0,13,0,1,3,0
ALECRIM,1,1,88,2,0,0,0,0,4,0,1,7,1
ALEGRETE,3,16,1285,164,0,6,3,0,59,0,47,49,39
ALEGRIA,1,0,41,0,0,0,0,0,1,0,0,3,0
"ALMIRANTE TAMANDARE DO SUL",0,1,12,0,0,1,0,0,1,0,0,1,0
ALPESTRE,0,4,74,3,0,0,1,0,2,0,0,12,0
"ALTO ALEGRE",0,0,2,0,0,0,0,0,0,0,0,0,0
"ALTO FELIZ",0,0,8,1,0,0,0,0,0,0,0,1,0
ALVORADA,67,145,2394,2266,1,298,6,0,146,2,105,120,111
"AMARAL FERRADOR",0,5,58,8,0,0,0,0,4,0,0,4,0
"AMETISTA DO SUL",1,3,68,4,0,0,0,0,3,0,0,3,0
"ANDRE DA ROCHA",0,0,31,4,0,0,0,0,0,0,0,1,0
"ANTA GORDA",0,0,37,5,0,0,0,0,2,0,0,4,0
"ANTONIO PRADO",0,5,229,9,0,0,0,0,12,1,8,4,2
ARAMBARE,0,1,68,0,0,0,0,0,2,0,1,2,3
ARARICA,0,1,34,10,0,5,0,0,1,0,0,2,1
ARATIBA,0,1,29,2,0,0,0,0,0,0,1,1,1
"ARROIO DO MEIO",0,8,242,15,0,8,0,0,12,0,8,5,4
"ARROIO DO PADRE",0,0,4,0,0,1,0,0,0,0,0,0,0
"ARROIO DO SAL",0,26,637,17,0,3,0,0,28,0,15,4,4
"ARROIO DO TIGRE",3,4,117,5,0,0,0,0,13,0,2,8,1
"ARROIO DOS RATOS",2,11,279,33,0,0,0,0,5,0,3,14,3
"ARROIO GRANDE",0,3,302,13,0,0,2,0,20,0,8,5,3
ARVOREZINHA,0,5,95,20,0,1,0,0,6,0,3,6,4
"AUGUSTO PESTANA",0,3,50,2,0,0,0,0,2,0,1,1,0
AUREA,0,0,17,1,0,0,0,0,0,0,0,2,0
BAGE,11,89,2552,352,0,8,3,0,153,0,75,55,51
"BALNEARIO PINHAL",2,15,552,73,0,4,1,0,12,0,12,9,17
BARAO,0,0,28,4,0,0,0,0,5,0,1,1,1
"BARAO DE COTEGIPE",0,0,70,11,0,0,0,0,2,0,1,1,2
"BARAO DO TRIUNFO",2,7,87,10,0,0,1,0,0,0,0,7,2
"BARRA DO GUARITA",0,1,65,2,0,0,0,0,1,1,0,14,1
"BARRA DO QUARAI",0,0,73,2,0,0,0,0,2,1,1,2,0
"BARRA DO RIBEIRO",1,1,196,20,0,5,0,0,9,0,5,5,3
"BARRA DO RIO AZUL",0,0,10,0,0,0,0,0,0,0,0,0,0
"BARRA FUNDA",0,0,25,2,0,0,0,0,1,0,0,1,0
BARRACAO,1,5,56,3,0,1,0,0,3,0,0,4,0
"BARROS CASSAL",2,7,75,12,0,0,0,0,5,0,0,6,0
"BENJAMIN CONSTANT DO SUL",0,0,8,1,0,0,0,0,1,0,0,2,0
"BENTO GONCALVES",10,186,2366,370,2,75,4,0,151,2,93,52,39
"BOA VISTA DAS MISSOES",0,2,16,2,0,0,0,0,2,0,0,7,0
"BOA VISTA DO BURICA",0,3,48,1,0,0,0,0,11,0,0,8,1
"BOA VISTA DO CADEADO",0,0,31,2,0,0,0,0,3,1,0,1,0
"BOA VISTA DO INCRA",0,1,25,0,0,1,0,0,2,0,1,0,0
"BOA VISTA DO SUL",0,0,15,5,0,1,0,0,0,0,0,0,0
"BOM JESUS",2,6,263,16,0,2,0,0,12,0,8,13,10
"BOM PRINCIPIO",1,10,94,27,0,2,0,0,8,0,1,3,0
"BOM PROGRESSO",0,2,18,0,0,0,0,0,1,0,0,0,0
"BOM RETIRO DO SUL",0,10,164,13,0,2,0,0,8,0,1,3,2
"BOQUEIRAO DO LEAO",1,8,46,15,0,2,0,0,2,0,1,1,0
BOSSOROCA,0,0,88,4,0,0,0,0,7,0,1,7,1
BOZANO,0,1,19,0,0,0,0,0,0,0,0,0,0
BRAGA,2,4,66,2,0,3,0,0,4,0,0,3,0
BROCHIER,0,1,13,3,0,1,0,0,0,0,2,0,0
BUTIA,3,3,490,25,2,0,1,0,15,0,12,13,6
"CACAPAVA DO SUL",2,20,632,37,0,3,0,0,21,1,6,28,9
CACEQUI,2,2,328,9,0,0,0,0,19,1,3,3,6
"CACHOEIRA DO SUL",4,38,1369,144,0,5,5,0,127,1,43,41,38
CACHOEIRINHA,19,396,2165,915,2,329,4,0,195,1,174,49,97
"CACIQUE DOBLE",0,1,35,3,0,0,1,0,0,0,0,1,0
CAIBATE,1,0,34,0,0,1,0,0,1,0,0,2,1
CAICARA,0,2,47,3,0,0,1,0,3,0,0,1,0
CAMAQUA,8,117,1479,144,0,3,6,0,117,2,32,21,41
CAMARGO,0,0,18,3,0,1,0,0,2,0,0,0,0
"CAMBARA DO SUL",0,3,46,4,0,0,0,0,6,0,0,3,0
"CAMPESTRE DA SERRA",0,0,38,6,0,1,0,0,0,0,0,2,1
"CAMPINA DAS MISSOES",1,0,25,1,0,0,0,0,1,0,0,1,0
"CAMPINAS DO SUL",0,1,12,3,0,0,0,0,1,0,3,2,1
"CAMPO BOM",2,223,1127,290,0,97,6,0,36,1,59,23,7
"CAMPO NOVO",2,4,89,4,0,1,0,0,7,0,2,4,3
"CAMPOS BORGES",0,1,17,1,0,1,1,0,2,0,0,4,0
CANDELARIA,8,19,527,38,0,13,0,0,25,0,13,21,19
"CANDIDO GODOI",0,0,19,0,0,0,0,0,0,1,0,1,0
CANDIOTA,3,11,192,6,0,1,1,0,30,0,0,3,1
CANELA,0,47,830,60,0,1,2,0,77,1,37,21,26
CANGUCU,1,30,434,57,0,1,1,0,29,0,5,25,6
CANOAS,103,835,5525,3525,0,1138,24,0,532,6,224,211,276
"CANUDOS DO VALE",0,0,8,0,0,0,0,0,0,0,0,2,0
"CAPAO BONITO DO SUL",1,0,26,0,0,0,0,0,0,0,0,3,0
"CAPAO DA CANOA",21,79,2173,279,0,33,7,1,110,1,75,44,36
"CAPAO DO CIPO",1,0,69,1,0,2,0,0,1,0,0,4,0
"CAPAO DO LEAO",0,4,557,50,0,4,0,0,11,0,11,11,5
"CAPELA DE SANTANA",3,9,115,17,0,8,0,0,1,0,31,5,3
CAPITAO,0,0,27,2,0,0,0,0,1,0,0,0,0
"CAPIVARI DO SUL",0,3,32,2,0,2,0,0,1,0,2,0,0
CARAA,0,1,32,5,0,0,0,0,1,0,1,2,0
CARAZINHO,2,46,1612,188,0,16,2,0,110,0,28,25,18
"CARLOS BARBOSA",0,10,283,31,0,17,2,0,20,0,12,2,3
"CARLOS GOMES",0,0,7,0,0,0,0,0,0,0,0,0,0
CASCA,0,5,66,13,0,2,2,0,6,0,0,5,2
CASEIROS,1,1,21,1,0,1,0,0,2,0,0,0,0
CATUIPE,0,4,156,7,0,0,0,0,13,0,2,16,1
"CAXIAS DO SUL",87,1153,6638,2380,3,460,21,0,656,6,148,295,193
CENTENARIO,0,0,7,0,0,0,0,0,0,0,0,0,0
CERRITO,1,0,70,2,0,0,0,0,2,0,1,1,0
"CERRO BRANCO",0,0,28,3,0,0,0,0,5,0,0,2,0
"CERRO GRANDE",2,4,15,0,0,0,0,0,0,0,0,0,0
"CERRO GRANDE DO SUL",1,9,126,7,0,2,0,0,4,0,1,6,6
"CERRO LARGO",0,4,140,4,0,0,1,0,12,0,9,7,7
CHAPADA,0,3,87,4,0,1,0,0,4,0,2,3,1
CHARQUEADAS,1,14,527,39,0,2,2,0,31,0,79,17,67
CHARRUA,0,0,22,1,0,0,0,0,3,0,1,0,0
CHIAPETTA,0,0,53,1,0,0,0,0,7,0,0,4,0
CHUI,0,9,137,12,0,0,0,0,12,1,8,4,3
CHUVISCA,0,0,65,4,0,0,0,0,1,0,0,1,0
CIDREIRA,5,16,925,77,0,10,0,0,31,2,33,8,22
CIRIACO,2,3,79,2,1,3,0,0,2,1,0,5,0
COLINAS,0,0,43,0,0,0,0,0,0,0,0,1,1
COLORADO,0,0,22,0,0,0,0,0,2,0,0,1,0
CONDOR,0,3,76,4,0,0,4,0,9,0,0,6,0
CONSTANTINA,2,7,107,16,0,0,2,0,3,0,4,7,0
"COQUEIRO BAIXO",0,0,8,0,0,0,0,0,1,0,0,0,0
"COQUEIROS DO SUL",0,0,26,2,0,1,0,0,4,0,0,0,0
"CORONEL BARROS",0,0,25,2,0,0,0,0,2,0,0,0,0
"CORONEL BICACO",2,5,194,12,0,0,0,0,5,0,0,7,5
"CORONEL PILAR",0,0,12,2,0,2,0,0,0,0,0,1,0
COTIPORA,1,2,46,5,0,0,0,0,6,0,0,0,0
COXILHA,0,1,30,3,0,2,0,0,0,1,1,2,0
CRISSIUMAL,1,8,159,4,0,1,2,0,8,0,4,7,2
CRISTAL,0,3,64,5,0,0,0,0,3,0,1,2,1
"CRISTAL DO SUL",0,0,13,0,0,0,0,0,0,0,0,2,2
"CRUZ ALTA",13,112,1698,195,0,13,3,0,165,1,48,70,63
CRUZALTENSE,0,1,4,0,0,0,0,0,0,0,0,1,0
"CRUZEIRO DO SUL",1,2,134,16,0,7,0,0,12,0,5,2,1
"DAVID CANABARRO",0,3,29,0,0,0,0,0,1,0,0,2,0
DERRUBADAS,0,1,18,0,0,0,0,0,1,0,0,1,0
"DEZESSEIS DE NOVEMBRO",0,0,22,1,0,0,0,0,3,0,0,0,0
"DILERMANDO DE AGUIAR",0,2,55,3,1,0,0,0,1,0,0,6,0
"DOIS IRMAOS",2,42,192,37,0,17,1,0,49,0,2,2,4
"DOIS IRMAOS DAS MISSOES",0,0,18,3,0,0,0,0,2,0,0,0,0
"DOIS LAJEADOS",0,2,20,2,0,0,0,0,0,1,0,1,0
"DOM FELICIANO",0,6,184,21,0,2,0,0,2,0,0,27,0
"DOM PEDRITO",8,11,538,56,0,0,0,0,48,0,17,34,8
"DOM PEDRO DE ALCANTARA",2,0,16,5,0,1,0,0,1,0,0,0,0
"DONA FRANCISCA",0,2,90,3,0,0,0,0,3,0,0,4,0
"DOUTOR RICARDO",0,4,13,1,0,0,0,0,1,0,0,3,0
"DR MAURICIO CARDOSO",0,0,62,3,0,1,0,0,0,1,0,0,0
"ELDORADO DO SUL",13,9,731,157,1,10,2,0,31,0,15,26,10
ENCANTADO,1,12,256,37,0,3,0,0,18,0,13,13,11
"ENCRUZILHADA DO SUL",8,27,719,56,1,0,2,0,37,1,6,18,6
"ENGENHO VELHO",0,0,8,0,0,0,0,0,1,0,0,0,0
"ENTRE IJUIS",0,2,75,6,0,0,0,0,2,0,0,3,0
"ENTRE RIOS DO SUL",0,1,64,1,0,1,0,0,1,0,1,2,0
EREBANGO,0,0,32,0,0,0,0,0,0,0,0,0,0
ERECHIM,18,130,1391,336,1,14,5,0,98,7,63,117,49
ERNESTINA,0,0,40,4,0,2,0,0,1,0,1,0,0
"ERVAL GRANDE",0,6,40,2,0,1,0,0,1,0,0,1,0
"ERVAL SECO",2,3,61,6,0,0,0,0,1,0,0,1,0
ESMERALDA,1,0,41,0,0,0,1,0,3,0,0,4,0
"ESPERANCA DO SUL",0,0,20,0,0,0,0,0,0,0,0,1,0
ESPUMOSO,1,2,142,3,0,0,1,0,10,0,11,4,11
ESTACAO,0,0,67,3,0,0,0,0,2,1,0,4,1
"ESTANCIA VELHA",1,82,487,136,0,92,6,0,35,0,24,8,10
